Epoch [1/100]  Loss: 0.0863  mAP50: 0.8852  mAP: 0.8852  Recall: 0.9974  F1: 0.9379  LR: 0.000100
Epoch [2/100]  Loss: 0.0452  mAP50: 0.9382  mAP: 0.9382  Recall: 0.9974  F1: 0.9669  LR: 0.000100
Epoch [3/100]  Loss: 0.0419  mAP50: 0.9427  mAP: 0.9427  Recall: 0.9974  F1: 0.9693  LR: 0.000100
Epoch [4/100]  Loss: 0.0365  mAP50: 0.9313  mAP: 0.9313  Recall: 0.9974  F1: 0.9632  LR: 0.000100
Epoch [5/100]  Loss: 0.0345  mAP50: 0.9395  mAP: 0.9395  Recall: 0.9906  F1: 0.9644  LR: 0.000010
Epoch [6/100]  Loss: 0.0250  mAP50: 0.9507  mAP: 0.9507  Recall: 0.9940  F1: 0.9719  LR: 0.000010
Epoch [7/100]  Loss: 0.0202  mAP50: 0.9524  mAP: 0.9524  Recall: 0.9974  F1: 0.9744  LR: 0.000010
Epoch [8/100]  Loss: 0.0186  mAP50: 0.9526  mAP: 0.9526  Recall: 0.9974  F1: 0.9745  LR: 0.000010
Epoch [9/100]  Loss: 0.0183  mAP50: 0.9499  mAP: 0.9499  Recall: 0.9906  F1: 0.9698  LR: 0.000010
Epoch [10/100]  Loss: 0.0173  mAP50: 0.9546  mAP: 0.9546  Recall: 0.9974  F1: 0.9755  LR: 0.000001
  → Checkpoint guardado: /kaggle/working/ckpt_epoch10.pth
Epoch [11/100]  Loss: 0.0154  mAP50: 0.9546  mAP: 0.9546  Recall: 0.9974  F1: 0.9756  LR: 0.000001
Epoch [12/100]  Loss: 0.0150  mAP50: 0.9546  mAP: 0.9546  Recall: 0.9974  F1: 0.9755  LR: 0.000001
Epoch [13/100]  Loss: 0.0149  mAP50: 0.9509  mAP: 0.9509  Recall: 0.9940  F1: 0.9720  LR: 0.000001
Epoch [14/100]  Loss: 0.0148  mAP50: 0.9547  mAP: 0.9547  Recall: 0.9974  F1: 0.9756  LR: 0.000001
Epoch [15/100]  Loss: 0.0146  mAP50: 0.9521  mAP: 0.9521  Recall: 0.9940  F1: 0.9726  LR: 0.000000
Epoch [16/100]  Loss: 0.0143  mAP50: 0.9518  mAP: 0.9518  Recall: 0.9940  F1: 0.9724  LR: 0.000000
Epoch [17/100]  Loss: 0.0143  mAP50: 0.9518  mAP: 0.9518  Recall: 0.9940  F1: 0.9725  LR: 0.000000
Epoch [18/100]  Loss: 0.0143  mAP50: 0.9517  mAP: 0.9517  Recall: 0.9940  F1: 0.9724  LR: 0.000000
Epoch [19/100]  Loss: 0.0144  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [20/100]  Loss: 0.0143  mAP50: 0.9516  mAP: 0.9516  Recall: 0.9940  F1: 0.9723  LR: 0.000000
  → Checkpoint guardado: /kaggle/working/ckpt_epoch20.pth
Epoch [21/100]  Loss: 0.0143  mAP50: 0.9515  mAP: 0.9515  Recall: 0.9940  F1: 0.9723  LR: 0.000000
Epoch [22/100]  Loss: 0.0143  mAP50: 0.9515  mAP: 0.9515  Recall: 0.9940  F1: 0.9723  LR: 0.000000
Epoch [23/100]  Loss: 0.0143  mAP50: 0.9515  mAP: 0.9515  Recall: 0.9940  F1: 0.9723  LR: 0.000000
Epoch [24/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [25/100]  Loss: 0.0141  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
