Epoch [1/50]  Loss: 0.1025  mAP50: 0.9173  mAP: 0.9173  Recall: 0.9974  F1: 0.9557  LR: 0.000100
Epoch [2/50]  Loss: 0.0464  mAP50: 0.9397  mAP: 0.9397  Recall: 0.9974  F1: 0.9677  LR: 0.000100
Epoch [3/50]  Loss: 0.0409  mAP50: 0.9353  mAP: 0.9353  Recall: 0.9838  F1: 0.9590  LR: 0.000100
Epoch [4/50]  Loss: 0.0370  mAP50: 0.9434  mAP: 0.9434  Recall: 0.9974  F1: 0.9696  LR: 0.000100
Epoch [5/50]  Loss: 0.0336  mAP50: 0.9558  mAP: 0.9558  Recall: 0.9974  F1: 0.9762  LR: 0.000010
Epoch [6/50]  Loss: 0.0219  mAP50: 0.9557  mAP: 0.9557  Recall: 0.9974  F1: 0.9761  LR: 0.000010
Epoch [7/50]  Loss: 0.0200  mAP50: 0.9556  mAP: 0.9556  Recall: 0.9940  F1: 0.9744  LR: 0.000010
Epoch [8/50]  Loss: 0.0187  mAP50: 0.9532  mAP: 0.9532  Recall: 0.9940  F1: 0.9732  LR: 0.000010
Epoch [9/50]  Loss: 0.0182  mAP50: 0.9584  mAP: 0.9584  Recall: 0.9974  F1: 0.9775  LR: 0.000010
Epoch [10/50]  Loss: 0.0177  mAP50: 0.9575  mAP: 0.9575  Recall: 0.9940  F1: 0.9754  LR: 0.000001
Epoch [11/50]  Loss: 0.0160  mAP50: 0.9580  mAP: 0.9580  Recall: 0.9940  F1: 0.9757  LR: 0.000001
Epoch [12/50]  Loss: 0.0159  mAP50: 0.9576  mAP: 0.9576  Recall: 0.9940  F1: 0.9755  LR: 0.000001
Epoch [13/50]  Loss: 0.0156  mAP50: 0.9586  mAP: 0.9586  Recall: 0.9940  F1: 0.9760  LR: 0.000001
Epoch [14/50]  Loss: 0.0155  mAP50: 0.9581  mAP: 0.9581  Recall: 0.9940  F1: 0.9757  LR: 0.000001
Epoch [15/50]  Loss: 0.0152  mAP50: 0.9586  mAP: 0.9586  Recall: 0.9940  F1: 0.9760  LR: 0.000000
Epoch [16/50]  Loss: 0.0153  mAP50: 0.9584  mAP: 0.9584  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [17/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [18/50]  Loss: 0.0153  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [19/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [20/50]  Loss: 0.0152  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [21/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [22/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [23/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [24/50]  Loss: 0.0149  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [25/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [26/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [27/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [28/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [29/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9758  LR: 0.000000
Epoch [30/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [31/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [32/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [33/50]  Loss: 0.0153  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [34/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [35/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [36/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [37/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [38/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [39/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [40/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [41/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [42/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [43/50]  Loss: 0.0152  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [44/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [45/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [46/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [47/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [48/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [49/50]  Loss: 0.0151  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
Epoch [50/50]  Loss: 0.0150  mAP50: 0.9583  mAP: 0.9583  Recall: 0.9940  F1: 0.9759  LR: 0.000000
